code,name,metric,sex,age,in,out,net,abs
03000,岩手県,male_total,男,総数,60,12,48,48
03000,岩手県,male_0_9,男,0-9歳,5,2,3,3
03000,岩手県,male_10_19,男,10-19歳,4,2,2,2
03000,岩手県,male_20_29,男,20-29歳,21,3,18,18
03000,岩手県,male_30_39,男,30-39歳,16,3,13,13
03000,岩手県,male_40_49,男,40-49歳,9,2,7,7
03000,岩手県,male_50_59,男,50-59歳,3,0,3,3
03000,岩手県,male_60_plus,男,60歳以上,2,0,2,2
03000,岩手県,male_unknown,男,不詳/その他,0,0,0,0
03000,岩手県,female_total,女,総数,17,6,11,11
03000,岩手県,female_0_9,女,0-9歳,3,0,3,3
03000,岩手県,female_10_19,女,10-19歳,1,0,1,1
03000,岩手県,female_20_29,女,20-29歳,5,2,3,3
03000,岩手県,female_30_39,女,30-39歳,3,1,2,2
03000,岩手県,female_40_49,女,40-49歳,2,2,0,0
03000,岩手県,female_50_59,女,50-59歳,2,0,2,2
03000,岩手県,female_60_plus,女,60歳以上,1,1,0,0
03000,岩手県,female_unknown,女,不詳/その他,0,0,0,0
22000,静岡県,both_total,総数,総数,110,58,52,52
22000,静岡県,both_0_9,総数,0-9歳,13,3,10,10
22000,静岡県,both_10_19,総数,10-19歳,14,8,6,6
22000,静岡県,both_20_29,総数,20-29歳,31,19,12,12
22000,静岡県,both_30_39,総数,30-39歳,30,11,19,19
22000,静岡県,both_40_49,総数,40-49歳,10,9,1,1
22000,静岡県,both_50_59,総数,50-59歳,9,4,5,5
22000,静岡県,both_60_plus,総数,60歳以上,3,4,-1,1
22000,静岡県,both_unknown,総数,不詳/その他,0,0,0,0
22000,静岡県,male_total,男,総数,70,38,32,32
22000,静岡県,male_0_9,男,0-9歳,7,1,6,6
22000,静岡県,male_10_19,男,10-19歳,10,3,7,7
22000,静岡県,male_20_29,男,20-29歳,20,14,6,6
22000,静岡県,male_30_39,男,30-39歳,18,8,10,10
22000,静岡県,male_40_49,男,40-49歳,6,6,0,0
22000,静岡県,male_50_59,男,50-59歳,8,4,4,4
22000,静岡県,male_60_plus,男,60歳以上,1,2,-1,1
22000,静岡県,male_unknown,男,不詳/その他,0,0,0,0
22000,静岡県,female_total,女,総数,40,20,20,20
22000,静岡県,female_0_9,女,0-9歳,6,2,4,4
22000,静岡県,female_10_19,女,10-19歳,4,5,-1,1
22000,静岡県,female_20_29,女,20-29歳,11,5,6,6
22000,静岡県,female_30_39,女,30-39歳,12,3,9,9
22000,静岡県,female_40_49,女,40-49歳,4,3,1,1
22000,静岡県,female_50_59,女,50-59歳,1,0,1,1
22000,静岡県,female_60_plus,女,60歳以上,2,2,0,0
22000,静岡県,female_unknown,女,不詳/その他,0,0,0,0
01234,北広島市,both_total,総数,総数,53,101,-48,48
01234,北広島市,both_0_9,総数,0-9歳,3,14,-11,11
01234,北広島市,both_10_19,総数,10-19歳,2,8,-6,6
01234,北広島市,both_20_29,総数,20-29歳,20,28,-8,8
01234,北広島市,both_30_39,総数,30-39歳,6,24,-18,18
01234,北広島市,both_40_49,総数,40-49歳,4,12,-8,8
01234,北広島市,both_50_59,総数,50-59歳,7,8,-1,1
01234,北広島市,both_60_plus,総数,60歳以上,11,7,4,4
01234,北広島市,both_unknown,総数,不詳/その他,0,0,0,0
01234,北広島市,male_total,男,総数,20,51,-31,31
01234,北広島市,male_0_9,男,0-9歳,0,8,-8,8
01234,北広島市,male_10_19,男,10-19歳,2,5,-3,3
01234,北広島市,male_20_29,男,20-29歳,9,11,-2,2
01234,北広島市,male_30_39,男,30-39歳,2,15,-13,13
01234,北広島市,male_40_49,男,40-49歳,2,6,-4,4
01234,北広島市,male_50_59,男,50-59歳,3,3,0,0
01234,北広島市,male_60_plus,男,60歳以上,2,3,-1,1
01234,北広島市,male_unknown,男,不詳/その他,0,0,0,0
01234,北広島市,female_total,女,総数,33,50,-17,17
01234,北広島市,female_0_9,女,0-9歳,3,6,-3,3
01234,北広島市,female_10_19,女,10-19歳,0,3,-3,3
01234,北広島市,female_20_29,女,20-29歳,11,17,-6,6
01234,北広島市,female_30_39,女,30-39歳,4,9,-5,5
01234,北広島市,female_40_49,女,40-49歳,2,6,-4,4
01234,北広島市,female_50_59,女,50-59歳,4,5,-1,1
01234,北広島市,female_60_plus,女,60歳以上,9,4,5,5
01234,北広島市,female_unknown,女,不詳/その他,0,0,0,0
11000,埼玉県,both_total,総数,総数,244,196,48,48
11000,埼玉県,both_0_9,総数,0-9歳,22,19,3,3
11000,埼玉県,both_10_19,総数,10-19歳,47,18,29,29
11000,埼玉県,both_20_29,総数,20-29歳,78,69,9,9
11000,埼玉県,both_30_39,総数,30-39歳,52,42,10,10
11000,埼玉県,both_40_49,総数,40-49歳,22,35,-13,13
11000,埼玉県,both_50_59,総数,50-59歳,17,8,9,9
11000,埼玉県,both_60_plus,総数,60歳以上,6,5,1,1
11000,埼玉県,both_unknown,総数,不詳/その他,0,0,0,0
11000,埼玉県,male_total,男,総数,171,137,34,34
11000,埼玉県,male_0_9,男,0-9歳,13,10,3,3
11000,埼玉県,male_10_19,男,10-19歳,36,16,20,20
11000,埼玉県,male_20_29,男,20-29歳,52,48,4,4
11000,埼玉県,male_30_39,男,30-39歳,29,26,3,3
11000,埼玉県,male_40_49,男,40-49歳,19,28,-9,9
11000,埼玉県,male_50_59,男,50-59歳,16,6,10,10
11000,埼玉県,male_60_plus,男,60歳以上,6,3,3,3
11000,埼玉県,male_unknown,男,不詳/その他,0,0,0,0
11000,埼玉県,female_total,女,総数,73,59,14,14
11000,埼玉県,female_0_9,女,0-9歳,9,9,0,0
11000,埼玉県,female_10_19,女,10-19歳,11,2,9,9
11000,埼玉県,female_20_29,女,20-29歳,26,21,5,5
11000,埼玉県,female_30_39,女,30-39歳,23,16,7,7
11000,埼玉県,female_40_49,女,40-49歳,3,7,-4,4
11000,埼玉県,female_50_59,女,50-59歳,1,2,-1,1
11000,埼玉県,female_60_plus,女,60歳以上,0,2,-2,2
11000,埼玉県,female_unknown,女,不詳/その他,0,0,0,0
24000,三重県,both_total,総数,総数,67,19,48,48
24000,三重県,both_0_9,総数,0-9歳,4,0,4,4
24000,三重県,both_10_19,総数,10-19歳,4,0,4,4
24000,三重県,both_20_29,総数,20-29歳,22,6,16,16
24000,三重県,both_30_39,総数,30-39歳,23,1,22,22
24000,三重県,both_40_49,総数,40-49歳,10,3,7,7
24000,三重県,both_50_59,総数,50-59歳,3,8,-5,5
24000,三重県,both_60_plus,総数,60歳以上,1,1,0,0
24000,三重県,both_unknown,総数,不詳/その他,0,0,0,0
24000,三重県,male_total,男,総数,54,15,39,39
